time	watts	max_big_temp	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster
1528264820.86	0.0	46.0	46.0	43.0	45.0	40.0	38.0	300000000.0	2000000000.0	
1528264820.91	2.351	45.0	41.0	42.0	45.0	40.0	38.0	200000000.0	400000000.0	
1528264820.96	3.275	44.0	40.0	41.0	44.0	40.0	38.0	200000000.0	300000000.0	
1528264821.01	3.275	44.0	40.0	41.0	44.0	40.0	38.0	200000000.0	1000000000.0	
1528264821.06	3.275	44.0	40.0	41.0	44.0	40.0	38.0	200000000.0	400000000.0	
1528264821.11	3.275	44.0	39.0	41.0	44.0	39.0	38.0	200000000.0	300000000.0	
1528264821.16	3.275	44.0	39.0	40.0	44.0	39.0	38.0	200000000.0	300000000.0	
1528264821.21	3.275	44.0	39.0	40.0	44.0	39.0	38.0	200000000.0	300000000.0	
1528264821.26	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	600000000.0	
1528264821.31	2.393	44.0	39.0	40.0	44.0	39.0	38.0	300000000.0	300000000.0	
1528264821.36	2.393	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	400000000.0	
1528264821.41	2.393	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264821.46	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264821.51	2.397	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264821.56	2.397	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264821.61	2.397	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264821.66	2.397	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264821.71	2.397	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	600000000.0	
1528264821.76	2.397	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264821.81	2.366	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264821.86	2.366	44.0	40.0	41.0	44.0	40.0	38.0	200000000.0	1400000000.0	
1528264821.91	2.366	44.0	40.0	40.0	44.0	39.0	38.0	200000000.0	300000000.0	
1528264821.96	2.366	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.01	2.366	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	400000000.0	
1528264822.06	2.584	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264822.11	2.584	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.16	2.584	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.21	2.584	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	1600000000.0	
1528264822.26	2.584	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264822.31	2.584	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	200000000.0	
1528264822.36	2.443	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264822.41	2.443	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264822.46	2.443	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.52	2.443	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264822.57	2.443	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.62	2.401	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.67	2.401	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.72	2.401	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.77	2.401	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	400000000.0	
1528264822.82	2.401	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.87	2.401	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	800000000.0	
1528264822.92	2.374	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264822.97	2.374	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.02	2.374	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	900000000.0	
1528264823.07	2.374	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.12	2.374	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.17	2.389	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.22	2.389	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264823.27	2.389	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264823.32	2.389	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264823.37	2.389	43.0	41.0	40.0	43.0	39.0	38.0	400000000.0	2000000000.0	
1528264823.42	2.389	44.0	40.0	40.0	44.0	39.0	38.0	400000000.0	300000000.0	
1528264823.47	2.569	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.52	2.569	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.57	2.569	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264823.62	2.569	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264823.67	2.569	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	200000000.0	
1528264823.72	2.393	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264823.77	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	400000000.0	
1528264823.82	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.87	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.92	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264823.97	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.02	2.378	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	500000000.0	
1528264824.07	2.378	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.12	2.378	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	500000000.0	
1528264824.17	2.378	43.0	39.0	40.0	43.0	39.0	38.0	1400000000.0	800000000.0	
1528264824.22	2.378	43.0	39.0	40.0	43.0	39.0	38.0	1400000000.0	200000000.0	
1528264824.28	2.443	43.0	39.0	40.0	43.0	39.0	38.0	1400000000.0	300000000.0	
1528264824.33	2.443	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264824.38	2.443	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264824.43	2.443	44.0	40.0	42.0	44.0	39.0	38.0	200000000.0	1200000000.0	
1528264824.48	2.443	44.0	39.0	41.0	44.0	39.0	38.0	200000000.0	300000000.0	
1528264824.53	2.443	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.58	2.645	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.63	2.645	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.68	2.645	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.73	2.645	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.78	2.645	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264824.83	2.386	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264824.88	2.386	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	700000000.0	
1528264824.93	2.386	44.0	40.0	41.0	44.0	39.0	38.0	300000000.0	400000000.0	
1528264824.98	2.386	44.0	40.0	40.0	44.0	39.0	38.0	200000000.0	300000000.0	
1528264825.03	2.386	44.0	39.0	40.0	44.0	39.0	38.0	200000000.0	600000000.0	
1528264825.08	2.386	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	500000000.0	
1528264825.13	2.584	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264825.18	2.584	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264825.23	2.584	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	500000000.0	
1528264825.28	2.584	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	300000000.0	
1528264825.33	2.584	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264825.38	2.382	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	400000000.0	
1528264825.43	2.382	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264825.48	2.382	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264825.53	2.382	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	500000000.0	
1528264825.58	2.382	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264825.63	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	200000000.0	
1528264825.68	2.393	43.0	39.0	40.0	43.0	39.0	38.0	200000000.0	300000000.0	
1528264825.73	2.393	43.0	39.0	40.0	43.0	39.0	38.0	300000000.0	400000000.0	
