Added workload: Texting
Added workload: Email
Added workload: Browser
Added workload: Photo Editing
[Texting, Email, Browser, Photo Editing]
name	startts	endts	runtime(s)	iteration
Texting	1528317275.24	1528317336.28	60.9211671352	0
Email	1528317366.31	1528317511.86	145.507594824	0
Browser	1528317541.89	1528317585.49	43.5602338314	0
Photo Editing	1528317615.52	1528317684.14	68.5779969692	0
Texting	1528317714.17	1528317776.89	62.6723208427	1
Email	1528317806.92	1528317954.15	147.208788157	1
Browser	1528317984.18	1528318028.8	44.5713069439	1
Photo Editing	1528318058.8	1528318126.26	67.4065701962	1
Texting	1528318156.29	1528318218.86	62.5159780979	2
Email	1528318248.88	1528318396.12	147.186193943	2
Browser	1528318426.13	1528318471.01	44.8259599209	2
Photo Editing	1528318501.04	1528318568.0	66.9078090191	2
Texting	1528318598.03	1528318662.51	64.4251830578	3
Email	1528318692.54	1528318839.84	147.247663975	3
Browser	1528318869.87	1528318914.36	44.4379019737	3
Photo Editing	1528318944.39	1528319011.42	66.9763510227	3
Texting	1528319041.45	1528319102.43	60.9328699112	4
Email	1528319132.45	1528319279.11	146.607957125	4
Browser	1528319309.14	1528319353.0	43.8150060177	4
Photo Editing	1528319383.03	1528319450.06	66.974560976	4
****************************************
Workload geometric average runtime summary over 5 iterations
****************************************
Name	RuntimeAvg	GeomAvg
