Added workload: Texting
Added workload: Email
Added workload: Browser
Added workload: Photo Editing
[Texting, Email, Browser, Photo Editing]
name	startts	endts	runtime(s)	iteration
Texting	1528225963.87	1528226026.89	62.8880310059	0
Email	1528226056.92	1528226204.09	147.126279116	0
Browser	1528226234.12	1528226278.89	44.7198901176	0
Photo Editing	1528226308.92	1528226379.2	70.2276909351	0
Texting	1528226409.23	1528226471.71	62.4240398407	1
Email	1528226501.74	1528226648.93	147.14000392	1
Browser	1528226678.96	1528226723.64	44.6352720261	1
Photo Editing	1528226753.67	1528226823.7	69.9855079651	1
Texting	1528226853.73	1528226916.27	62.498442173	2
Email	1528226946.3	1528227093.25	146.897727013	2
Browser	1528227123.28	1528227168.19	44.8593649864	2
Photo Editing	1528227198.21	1528227268.46	70.1969351768	2
Texting	1528227298.49	1528227360.72	62.1829209328	3
Email	1528227390.75	1528227537.98	147.181553125	3
Browser	1528227568.01	1528227612.88	44.8188531399	3
Photo Editing	1528227642.91	1528227713.0	70.0359351635	3
Texting	1528227743.03	1528227805.4	62.3255529404	4
Email	1528227835.43	1528227982.51	147.02136898	4
Browser	1528228012.52	1528228057.13	44.5614340305	4
Photo Editing	1528228087.16	1528228157.79	70.5763909817	4
****************************************
Workload geometric average runtime summary over 5 iterations
****************************************
Name	RuntimeAvg	GeomAvg
