Added workload: Texting
Added workload: Email
Added workload: Browser
Added workload: Photo Editing
[Texting, Email, Browser, Photo Editing]
name	startts	endts	runtime(s)	iteration
Texting	1528317898.29	1528317960.56	62.1536078453	0
Email	1528317990.59	1528318136.94	146.294595003	0
Browser	1528318166.97	1528318211.43	44.4056279659	0
Photo Editing	1528318241.46	1528318309.03	67.5156311989	0
Texting	1528318339.03	1528318401.98	62.890884161	1
Email	1528318431.99	1528318579.68	147.631471157	1
Browser	1528318609.7	1528318655.04	45.293943882	1
Photo Editing	1528318685.07	1528318751.44	66.3173201084	1
Texting	1528318781.47	1528318844.29	62.7582888603	2
Email	1528318874.32	1528319022.51	148.141974926	2
Browser	1528319052.54	1528319097.73	45.1384499073	2
Photo Editing	1528319127.76	1528319194.19	66.37464118	2
Texting	1528319224.22	1528319287.5	63.2298359871	3
Email	1528319317.53	1528319465.31	147.723293066	3
Browser	1528319495.34	1528319540.6	45.2056269646	3
Photo Editing	1528319570.62	1528319636.9	66.221788168	3
Texting	1528319666.92	1528319729.75	62.7829830647	4
Email	1528319759.78	1528319907.71	147.874505997	4
Browser	1528319937.72	1528319982.82	45.0534119606	4
Photo Editing	1528320012.85	1528320080.14	67.2335910797	4
****************************************
Workload geometric average runtime summary over 5 iterations
****************************************
Name	RuntimeAvg	GeomAvg
