Added workload: Texting
Added workload: Email
Added workload: Browser
Added workload: Photo Editing
[Texting, Email, Browser, Photo Editing]
name	startts	endts	runtime(s)	iteration
Texting	1528262952.73	1528262962.57	9.81437921524	0
Email	1528262992.58	1528263013.91	21.3142430782	0
Browser	1528263043.94	1528263050.84	6.88697195053	0
Photo Editing	1528263080.87	1528263106.08	25.2086470127	0
Texting	1528263136.11	1528263145.83	9.6996679306	1
Email	1528263175.85	1528263198.43	22.564260006	1
Browser	1528263228.46	1528263235.15	6.68611598015	1
Photo Editing	1528263265.18	1528263292.48	27.2913489342	1
Texting	1528263322.51	1528263332.91	10.3890690804	2
Email	1528263362.94	1528263385.89	22.9367470741	2
Browser	1528263415.92	1528263423.29	7.3648121357	2
Photo Editing	1528263453.32	1528263479.39	26.0582368374	2
Texting	1528263509.41	1528263519.41	9.98485779762	3
Email	1528263549.44	1528263573.09	23.6482570171	3
Browser	1528263603.12	1528263610.06	6.93103289604	3
Photo Editing	1528263640.09	1528263660.17	20.0707478523	3
Texting	1528263690.2	1528263699.63	9.40549993515	4
Email	1528263729.63	1528263752.58	22.9307549	4
Browser	1528263782.61	1528263789.76	7.14401721954	4
Photo Editing	1528263819.79	1528263849.21	29.4186120033	4
****************************************
Workload geometric average runtime summary over 5 iterations
****************************************
Name	RuntimeAvg	GeomAvg
