Added workload: Texting
Added workload: Email
Added workload: Browser
Added workload: Photo Editing
[Texting, Email, Browser, Photo Editing]
name	startts	endts	runtime(s)	iteration
Texting	1528317877.49	1528317940.14	62.525673151	0
Email	1528317970.17	1528318118.09	147.859638929	0
Browser	1528318148.12	1528318193.29	45.1194498539	0
Photo Editing	1528318223.32	1528318293.65	70.2721450329	0
Texting	1528318323.68	1528318386.94	63.2100930214	1
Email	1528318416.96	1528318564.77	147.754953146	1
Browser	1528318594.77	1528318640.04	45.2135541439	1
Photo Editing	1528318670.07	1528318740.93	70.8137631416	1
Texting	1528318770.96	1528318834.13	63.108727932	2
Email	1528318864.16	1528319012.03	147.823544979	2
Browser	1528319042.06	1528319087.34	45.2275080681	2
Photo Editing	1528319117.37	1528319187.49	70.068516016	2
Texting	1528319217.52	1528319280.59	63.0106160641	3
Email	1528319310.62	1528319458.56	147.882873058	3
Browser	1528319488.58	1528319533.9	45.2646679878	3
Photo Editing	1528319563.93	1528319634.88	70.8908259869	3
Texting	1528319664.9	1528319727.96	63.0054798126	4
Email	1528319757.99	1528319905.92	147.866294146	4
Browser	1528319935.94	1528319981.36	45.3662288189	4
Photo Editing	1528320011.38	1528320082.16	70.722671032	4
****************************************
Workload geometric average runtime summary over 5 iterations
****************************************
Name	RuntimeAvg	GeomAvg
